"Study page name","Study design",PMID,DOI,URL,"Authors list",Title,Journal,Year,Abstract,State,Reviewer
"Study 520","cross-sectional observational, not case-control",32046455,10.1007/s43032-019-00113-5,,"Perrotta AR, Borrelli GM, Martins CO, Kallas EG, Sanabani SS, Griffith LG, Alm EJ , Abrao MS","The Vaginal Microbiome as a Tool to Predict rASRM Stage of Disease in Endometriosis: a Pilot Study","Reproductive sciences (Thousand Oaks, Calif.)",2020,"Endometriosis remains a challenge to understand and to diagnose. This is an observational cross-sectional pilot study to characterize the gut and vaginal microbiome profiles among endometriosis patients and control subjects without the disease and to explore their potential use as a less-invasive diagnostic tool for endometriosis. Overall, 59 women were included, n = 35 with endometriosis and n = 24 controls. Rectal and vaginal samples were collected in two different periods of the menstrual cycle from all subjects. Gut and vaginal microbiomes from patients with different rASRM (revised American Society for Reproductive Medicine) endometriosis stages and controls were analyzed. Illumina sequencing libraries were constructed using a two-step 16S rRNA gene PCR amplicon approach. Correlations of 16S rRNA gene amplicon data with clinical metadata were conducted using a random forest-based machine-learning classification analysis. Distribution of vaginal CSTs (community state types) significantly differed between follicular and menstrual phases of the menstrual cycle (p = 0.021, Fisher's exact test). Vaginal and rectal microbiome profiles and their association to severity of endometriosis (according to rASRM stages) were evaluated. Classification models built with machine-learning methods on the microbiota composition during follicular and menstrual phases of the cycle were built, and it was possible to accurately predict rASRM stages 1-2 verses rASRM stages 3-4 endometriosis. The feature contributing the most to this prediction was an OTU (operational taxonomic unit) from the genus Anaerococcus. Gut and vaginal microbiomes of women with endometriosis have been investigated. Our findings suggest for the first time that vaginal microbiome may predict stage of disease when endometriosis is present.",Complete,
"Study 521",case-control,33925708,10.3390/ijms22094608,,"Lee SR, Lee JC, Kim SH, Oh YS, Chae HD, Seo H, Kang CS , Shin TS","Altered Composition of Microbiota in Women with Ovarian Endometrioma: Microbiome Analyses of Extracellular Vesicles in the Peritoneal Fluid","International journal of molecular sciences",2021,"Human microbiota refers to living microorganisms which colonize our body and crucially contribute to the metabolism of nutrients and various physiologic functions. According to recently accumulated evidence, human microbiota dysbiosis in the genital tract or pelvic cavity could be involved in the pathogenesis and/or pathophysiology of endometriosis. We aimed to investigate whether the composition of microbiome is altered in the peritoneal fluid in women with endometriosis. We recruited 45 women with histological evidence of ovarian endometrioma and 45 surgical controls without endometriosis. Following the isolation of extracellular vesicles from peritoneal fluid samples from women with and without endometriosis, bacterial genomic DNA was sequenced using next-generation sequencing of the 16S rDNA V3-V4 regions. Diversity analysis showed significant differences in the microbial community at phylum, class, order, family, and genus levels between the two groups. The abundance of Acinetobacter, Pseudomonas, Streptococcus, and Enhydrobacter significantly increased while the abundance of Propionibacterium, Actinomyces, and Rothia significantly decreased in the endometriosis group compared with those in the control group (p < 0.05). These findings strongly suggest that microbiome composition is altered in the peritoneal environment in women with endometriosis. Further studies are necessary to verify whether dysbiosis itself can cause establishment and/or progression of endometriosis.",Complete,Claregrieve1
"Study 522","cross-sectional observational, not case-control",32299442,10.1186/s12941-020-00356-0,,"Wei W, Zhang X, Tang H, Zeng L , Wu R","Microbiota composition and distribution along the female reproductive tract of women with endometriosis","Annals of clinical microbiology and antimicrobials",2020,"Endometriosis (EMS) is a multifactorial disease that affects 10%-15% women of reproductive age and is associated with chronic pelvic pain and infertility. The pathogenesis of EMS has not been consistently explained until now. In this study, we involved 36 endometriosis patients and 14 control subjects who performed laparoscopic surgery due to gynecological benign tumor. The samples from lower third of vagina (CL), posterior vaginal fornix (CU), cervical mucus (CV), endometrium (ET) and peritoneal fluid (PF), were collected and sequenced by 16S rRNA amplicon. The continuous change of the microbiota distribution was identified along the reproductive tract. The flora in lower reproductive tract (CL, CU) were dominated by Lactobacillus. Significant difference of the community diversity began showing in the CV of EMS patients and gradually increased upward the reproductive tract. It indicates the microbiota in cervical samples is expected to be an indicator for the risk of EMS. This study also highlights the decreasing of Lactobacillus in vaginal flora and the increasing of signature Operational Taxonomic Units (OTUs) in transaction zone (CV) and upper reproductive tract (ET, PF) of EMS patients, which reflect the alteration of microbial community associated with EMS, participation of specific colonized bacteria in the EMS pathogenesis and relationship between microbiota and development of disease.",Complete,
"Study 523","laboratory experiment",32681566,10.1111/aji.13307,,"Ni Z, Sun S, Bi Y, Ding J, Cheng W, Yu J, Zhou L, Li M , Yu C","Correlation of fecal metabolomics and gut microbiota in mice with endometriosis","American journal of reproductive immunology (New York, N.Y. : 1989)",2020,"PROBLEM: Endometriosis (EMS) is a chronic inflammatory disease with unclear pathogenesis. Three studies have uncovered the influence of gut microbiota on mice with EMS, but no study has investigated the characteristics of fecal metabolomics to determine some important clues on EMS. This research aims to uncover the interaction between fecal metabolomics and gut microbiota in EMS mice. METHOD OF STUDY: Female C57BL/6J mice were used to construct the EMS model. Non-target metabolomics was applied to detect the fecal metabolites of EMS mice. The 16s rRNA sequencing was used for clarifying the composition of the gut microbiota. The functional characteristics of gut microbiota were analyzed using the PICRUSt. The receiver operator characteristic curve (ROC) analysis was utilized for determining the potential important differential metabolites, and the Spearman correlation coefficient was applied for expressing the correlation between the important differential metabolites and gut microbiota. RESULTS: A total of 156 named differential metabolites were screened. The diversity and the abundance of gut microbiota in EMS mice decreased. Eleven pathways were involved in the differential metabolites and the functional prediction of gut microbiota, among which the second bile acid biosynthesis and alpha-linolenic acid (ALA) metabolism were the significant enrichment pathways. The increased abundance of chenodeoxycholic and ursodeoxycholic acids and the decreased abundance of ALA and 12,13-EOTrE were found in the feces of EMS mice. CONCLUSION: The abnormal fecal metabolites, which are influenced by dysbacteriosis, may be the characteristics of EMS mice and can be the potential important indices to distinguish the disease.",Complete,
"Study 524","prospective cohort",31696774,10.1080/19490976.2019.1681861,https://pubmed.ncbi.nlm.nih.gov/31696774/,"Astbury S, Atallah E, Vijay A, Aithal GP, Grove JI , Valdes AM","Lower gut microbiome diversity and higher abundance of proinflammatory genus <i>Collinsella</i> are associated with biopsy-proven nonalcoholic steatohepatitis","Gut microbes",2020,"There is increasing evidence for the role of gut microbial composition in the pathogenesis of nonalcoholic fatty liver disease (NAFLD). Nonalcoholic steatohepatitis (NASH) is the most serious form of NAFLD where inflammation causes liver damage that can progress to cirrhosis. We have characterized the gut microbiome composition in UK patients with biopsy-proven NASH (n = 65) and compared it to that in healthy controls (n = 76). We report a 7% lower Shannon alpha diversity in NASH patients without cirrhosis (n = 40) compared to controls (p = 2.7x 10-4) and a 14% drop in NASH patients with cirrhosis (n = 25, p = 5.0x 10-4). Beta diversity (Unweighted UniFrac distance) was also significantly reduced in both NASH (p = 5.6x 10-25) and NASH-cirrhosis (p = 8.1x 10-7) groups. The genus most strongly associated with NASH in this study was Collinsella (0.29% abundance in controls, 3.45% in NASH without cirrhosis (False Discovery Rate (FDR) p = .008), and 4.38% in NASH with cirrhosis (FDR p = .02)). This genus, which has been linked previously to obesity and atherosclerosis, was also positively correlated with fasting levels of triglycerides (p = .01) and total cholesterol (p = 1.2x 10-4) and negatively correlated with high-density lipoprotein cholesterol (p = 2.8x 10-6) suggesting that some of the pathways present in this microbial genus may influence lipid metabolism in the host. In patients, we also found decreased abundance of some of the Ruminococcaceae which are known to produce high levels of short-chain fatty acids which can lower inflammation. This may thus contribute to pathology associated with NASH.",Complete,
"Study 525",case-control,34268384,10.21037/atm-20-4586,,"Chao X, Liu Y, Fan Q, Shi H, Wang S , Lang J","The role of the vaginal microbiome in distinguishing female chronic pelvic pain caused by endometriosis/adenomyosis","Annals of translational medicine",2021,"Background: This study aimed to investigate the specific vaginal microbiome in the differential diagnosis of endometriosis/adenomyosis (EM/AM)-associated chronic pelvic pain (CPP) from other types of CPP, and to explore the role of the vaginal microbiome in the mechanism of EM/AM-associated CPP. Methods: We recruited 37 women with EM/AM-associated CPP, 25 women with chronic pelvic pain syndrome (CPPS) without EM/AM, and 66 women without CPPS into our study. All of the participants were free from human papillomavirus (HPV) infection. Sequencing of barcoded 16S rRNA gene fragments (V4) was used to determine the vaginal microbiome composition on the Illumina HiSeq2500 System. Taxonomic and functional bioinformatics analyses were performed using t-test, linear discriminant analysis effect size (LEfSe), MetaStat, and PICRUSt algorithms. Results: At the species level, EM/AM-associated CPP was found to be associated with a predominance of Clostridium butyricum, Clostridium disporicum, Alloscardovia omnicolens, and Veillonella montpellierensis, and a concomitant paucity of Lactobacillus jensenii, Lactobacillus reuteri, and Lactobacillus iners. When the relative abundance of Clostridium disporicum was over 0.001105% and that of Lactobacillus reuteri was under 0.1911349%, the differential diagnostic sensitivity and specificity were 81.08% and 52.0%, respectively. When serum CA125 was combined, the sensitivity increased to 89.19%, but the specificity remained at 52.0%. The PICRUSt results identified 7 differentially regulated pathways within the 3 groups that may be of relevance. Conclusions: Compared to that of CPPS patients without EM/AM and women without CPPS, the vaginal microbiome of patients with EM/AM-associated CPP shows significantly higher alpha (phylogenetic) diversity, as well as higher counts of Clostridium butyricum, Clostridium disporicum, Alloscardovia omnicolens, and Veillonella montpellierensis. These differences in the vaginal microbiome may interfere with local functional pathways, which could provide a direction for innovative metabolite-specific targeted treatment. The combination of vaginal biomarkers and serum CA125 may provide an original method to differentiate EM/AM-associated CPP.",Complete,
"Study 526","cross-sectional observational, not case-control",33313185,10.21037/atm-20-1309,,"Chen S, Gu Z, Zhang W, Jia S, Wu Y, Zheng P, Dai Y , Leng J","Microbiome of the lower genital tract in Chinese women with endometriosis by 16s-rRNA sequencing technique: a pilot study","Annals of translational medicine",2020,"Background: Endometriosis is a benign, chronic, gynecological disease which affect the women in reproductive age. The dysfunction of immune system is associated with endometriosis and the diversity of microbiota in genital tract. According to previous studies, microbiota significantly contributes to multi-systemic function, but the evidence of relationship between microbiota and endometriosis remains insufficient. Methods: There are 68 participants were included in this study and 134 samples obtained from the cervical canal, posterior fornix and uterine cavity were analyzed by 16s-rRNA sequencing. The raw data was filtered, analyzed, and visualized, and bio-information methods were used to identify the characteristics of microbiota. Results: Two different locations near the cervix, cervical canal, and posterior fornix, exhibited no differences in alpha diversity. The microbiota profile of adenomyosis with endometriosis patients is different from control group through PCoA. Among the different disease groups, five microbiotas were distinctive in the genus level, and Atopobium presented with the greatest significance in adenomyoisis-endometriosis patients. The LeFSe analysis failed to identify the special biomarkers, while several characteristic functions were identified through PICRUSt. Conclusions: Lactobacillus is the predominant genus in the female lower genital tract, and Atopobium is higher in patients with endometriosis combined with adenomyosis. Several different functions of microbiota were explored, some of them are found to be associated with endometriosis or adenomyosis, other functions are needed to be further verified. These findings may provide a new concept of microbiota/immune system/endometriosis system.",Complete,
"Study 527",case-control,33660232,10.1007/s43032-021-00506-5,,"Svensson A, Brunkwall L, Roth B, Orho-Melander M , Ohlsson B","Associations Between Endometriosis and Gut Microbiota","Reproductive sciences (Thousand Oaks, Calif.)",2021,"The gut microbiota has been associated with many diseases, including endometriosis. However, very few studies have been conducted on this topic in human. This study aimed to investigate the association between endometriosis and gut microbiota. Women with endometriosis (N=66) were identified at the Department of Gynaecology and each patient was matched with three controls (N=198) from the general population. All participants answered questionnaires about socioeconomic data, medical history, and gastrointestinal symptoms and passed stool samples. Gut bacteria were analyzed using 16S ribosomal RNA sequencing, and in total, 58 bacteria were observed at genus level in both patients with endometriosis and controls. Comparisons of the microbiota between patients and controls and within the endometriosis cohort were performed. Both alpha and beta diversities were higher in controls than in patients. With the false discovery rate q<0.05, abundance of 12 bacteria belonging to the classes Bacilli, Bacteroidia, Clostridia, Coriobacteriia, and Gammaproteobacter differed significantly between patients and controls. Differences observed between patients with or without isolated ovarian endometriosis, involvement of the gastrointestinal tract, gastrointestinal symptoms, or hormonal treatment disappeared after calculation with false discovery rate. These findings indicate that the gut microbiota may be altered in endometriosis patients.",Complete,Claregrieve1
"Study 528","laboratory experiment",31887116,10.1371/journal.pone.0226835,,"Hantschel J, Weis S, Schäfer KH, Menger MD, Kohl M, Egert M , Laschke MW","Effect of endometriosis on the fecal bacteriota composition of mice during the acute phase of lesion formation","PloS one",2019,"Accumulating evidence indicates that there is an interaction between the gut microbiota and endometriotic lesions. The new formation of these lesions is associated with stem cell recruitment, angiogenesis and inflammation, which may affect the composition of the gut microbiota. To test this hypothesis, we herein induced endometriotic lesions by transplantation of uterine tissue fragments from green fluorescent protein (GFP)+ donor mice into the peritoneal cavity of GFP- C57BL/6 wild-type mice. Sham-transplanted animals served as controls. Fecal pellets of the animals were collected 3 days before as well as 7 and 21 days after the induction of endometriosis to analyze the composition of the gut microbiota by means of 16S ribosomal RNA gene sequencing. The transplantation of uterine tissue fragments resulted in the establishment of endometriotic lesions in all analyzed mice. These lesions exhibited a typical histomorphology with endometrial glands surrounded by a vascularized stroma. Due to their bright GFP signal, they could be easily differentiated from the surrounding GFP- host tissue. Bacterial 16S rRNA genes were successfully PCR-amplified from the DNA extracts of all obtained mice fecal samples. However, no significant effect of endometriosis induction on the composition of the bacterial microbiota was detected with our experimental setup. Our findings allow careful speculation that endometriosis in mice does not induce pronounced dysbiosis during the acute phase of lesion formation.",Complete,
"Study 529",case-control,30459400,10.1038/s41598-018-35473-6,,"Chen B, Zhao Y, Li S, Yang L, Wang H, Wang T, Bin Shi Z, Gai X, Heng C, Zhang J, Yang L , Zhang","Variations in oral microbiome profiles in rheumatoid arthritis and osteoarthritis with potential biomarkers for arthritis screening","Scientific reports",2018,"The key to arthritis management is early diagnosis and treatment to prevent further joint destruction and maximize functional ability. Osteoarthritis (OA) and rheumatoid arthritis (RA) are two common types of arthritis that the primary care provider must differentiate, in terms of diagnosis and treatment. Effective and non-invasive strategies for early detection and disease identification are sorely needed. Growing evidence suggests that RA has a correlation with oral microbiome and may be affected by its dynamic variations. There is already a study comparing oral microbiome in patients with RA and OA, however, it did not screen for potential biomarkers for arthritis. In this study, we assessed the oral microbiome in saliva samples from 110 RA patients, 67 OA patients and 155 healthy subjects, using 16S rRNA gene amplicon sequencing. The structure and differences in oral microbiome between RA, OA and healthy subjects were analyzed. Eight oral bacterial biomarkers were identified to differentiate RA from OA. This report provides proof of oral microbiota as an informative source for discovering non-invasive biomarkers for arthritis screening.",Complete,Chloe
"Study 530","prospective cohort",29617710,10.1093/annonc/mdy103,,"Derosa L, Hellmann MD, Spaziano M, Halpenny D, Fidelle M, Rizvi H, Long N, Plodkowski AJ, Arbour KC, Chaft JE, Rouche JA, Zitvogel L, Zalcman G, Albiges L, Escudier B , Routy B","Negative association of antibiotics on clinical activity of immune checkpoint inhibitors in patients with advanced renal cell and non-small-cell lung cancer","Annals of oncology : official journal of the European Society for Medical Oncology",2018,"Background: The composition of gut microbiota affects antitumor immune responses, preclinical and clinical outcome following immune checkpoint inhibitors (ICI) in cancer. Antibiotics (ATB) alter gut microbiota diversity and composition leading to dysbiosis, which may affect effectiveness of ICI. Patients and methods: We examined patients with advanced renal cell carcinoma (RCC) and non-small-cell lung cancer (NSCLC) treated with anti-programmed cell death ligand-1 mAb monotherapy or combination at two academic institutions. Those receiving ATB within 30 days of beginning ICI were compared with those who did not. Objective response, progression-free survival (PFS) determined by RECIST1.1 and overall survival (OS) were assessed. Results: Sixteen of 121 (13%) RCC patients and 48 of 239 (20%) NSCLC patients received ATB. The most common ATB were β-lactam or quinolones for pneumonia or urinary tract infections. In RCC patients, ATB compared with no ATB was associated with increased risk of primary progressive disease (PD) (75% versus 22%, P < 0.01), shorter PFS [median 1.9 versus 7.4 months, hazard ratio (HR) 3.1, 95% confidence interval (CI) 1.4-6.9, P < 0.01], and shorter OS (median 17.3 versus 30.6 months, HR 3.5, 95% CI 1.1-10.8, P = 0.03). In NSCLC patients, ATB was associated with similar rates of primary PD (52% versus 43%, P = 0.26) but decreased PFS (median 1.9 versus 3.8 months, HR 1.5, 95% CI 1.0-2.2, P = 0.03) and OS (median 7.9 versus 24.6 months, HR 4.4, 95% CI 2.6-7.7, P < 0.01). In multivariate analyses, the impact of ATB remained significant for PFS in RCC and for OS in NSCLC. Conclusion: ATB were associated with reduced clinical benefit from ICI in RCC and NSCLC. Modulatation of ATB-related dysbiosis and gut microbiota composition may be a strategy to improve clinical outcomes with ICI.",Complete,
"Study 531",case-control,32039051,10.3389/fcimb.2019.00475,,"Tong Y, Zheng L, Qing P, Zhao H, Li Y, Su L, Zhang Q, Zhao Y, Luo Y , Liu Y","Oral Microbiota Perturbations Are Linked to High Risk for Rheumatoid Arthritis","Frontiers in cellular and infection microbiology",2019,"Oral microbial dysbiosis is known to increase susceptibility of an individual to develop rheumatoid arthritis (RA). Individuals at-risk of RA may undergo different phases of disease progression. In this study, we aim to investigate whether and whereby the oral microbiome communities alter prior to symptoms of RA. Seventy-nine saliva samples were collected from 29 high-risk individuals, who were positive for anti-citrullinated protein antibodies (ACPA) and have no clinical arthritis, 27 RA patients and 23 healthy controls (HCs). The salivary microbiome was examined using 16S ribosomal RNA gene sequencing. Alpha and beta diversity analysis and the linear discriminant analysis were applied to examine the bacterial diversity, community structure and discriminatory taxa between three groups, respectively. The correlation between salivary bacteria and autoantibodies were analyzed. In the ""pre-clinical"" stages, salivary microbial diversity was significantly reduced comparing to RA patients and HCs. In contrast to HCs, like RA patients, individuals at high-risk for RA showed a reduction in the abundance of genus Defluviitaleaceae_UCG-011 and the species Neisseria oralis, but an expansion of Prevotella_6. Unexpectedly, the relative abundance of Porphyromonas gingivalis, reported as opportunistic pathogens for RA development, was significantly decreased in high-risk individuals. Additionally, we identified four genera in the saliva from high-risk individuals positively correlated with serum ACPA titers, and the other two genera inversely displayed. In summary, we observed a characteristic compositional change of salivary microbes in individuals at high-risk for RA, suggesting that oral microbiota dysbiosis occurs in the ""pre-clinical"" stage of RA and are correlated with systemic autoimmune features.",Complete,
"Study 532",case-control,27102666,10.1186/s13073-016-0299-7,,"Chen J, Wright K, Davis JM, Jeraldo P, Marietta EV, Murray J, Nelson H, Matteson EL , Taneja V","An expansion of rare lineage intestinal microbes characterizes rheumatoid arthritis","Genome medicine",2016,"BACKGROUND: The adaptive immune response in rheumatoid arthritis (RA) is influenced by an interaction between host genetics and environment, particularly the host microbiome. Association of the gut microbiota with various diseases has been reported, though the specific components of the microbiota that affect the host response leading to disease remain unknown. However, there is limited information on the role of gut microbiota in RA. In this study we aimed to define a microbial and metabolite profile that could predict disease status. In addition, we aimed to generate a humanized model of arthritis to confirm the RA-associated microbe. METHODS: To identify an RA biomarker profile, the 16S ribosomal DNA of fecal samples from RA patients, first-degree relatives (to rule out environment/background as confounding factors), and random healthy non-RA controls were sequenced. Analysis of metabolites and their association with specific taxa was performed to investigate a potential mechanistic link. The role of an RA-associated microbe was confirmed using a human epithelial cell line and a humanized mouse model of arthritis. RESULTS: Patients with RA exhibited decreased gut microbial diversity compared with controls, which correlated with disease duration and autoantibody levels. A taxon-level analysis suggested an expansion of rare taxa, Actinobacteria, with a decrease in abundant taxa in patients with RA compared with controls. Prediction models based on the random forests algorithm suggested that three genera, Collinsella, Eggerthella, and Faecalibacterium, segregated with RA. The abundance of Collinsella correlated strongly with high levels of alpha-aminoadipic acid and asparagine as well as production of the proinflammatory cytokine IL-17A. A role for Collinsella in altering gut permeability and disease severity was confirmed in experimental arthritis. CONCLUSIONS: These observations suggest dysbiosis in RA patients resulting from the abundance of certain rare bacterial lineages. A correlation between the intestinal microbiota and metabolic signatures could determine a predictive profile for disease causation and progression.",Complete,Claregrieve1
"Study 533","time series / longitudinal observational",29166320,10.1249/MSS.0000000000001495,,"Allen JM, Mailing LJ, Niemiro GM, Moore R, Cook MD, White BA, Holscher HD , Woods JA","Exercise Alters Gut Microbiota Composition and Function in Lean and Obese Humans","Medicine and science in sports and exercise",2018,"PURPOSE: Exercise is associated with altered gut microbial composition, but studies have not investigated whether the gut microbiota and associated metabolites are modulated by exercise training in humans. We explored the impact of 6 wk of endurance exercise on the composition, functional capacity, and metabolic output of the gut microbiota in lean and obese adults with multiple-day dietary controls before outcome variable collection. METHODS: Thirty-two lean (n = 18 [9 female]) and obese (n = 14 [11 female]), previously sedentary subjects participated in 6 wk of supervised, endurance-based exercise training (3 d·wk) that progressed from 30 to 60 min·d and from moderate (60% of HR reserve) to vigorous intensity (75% HR reserve). Subsequently, participants returned to a sedentary lifestyle activity for a 6-wk washout period. Fecal samples were collected before and after 6 wk of exercise, as well as after the sedentary washout period, with 3-d dietary controls in place before each collection. RESULTS: β-diversity analysis revealed that exercise-induced alterations of the gut microbiota were dependent on obesity status. Exercise increased fecal concentrations of short-chain fatty acids in lean, but not obese, participants. Exercise-induced shifts in metabolic output of the microbiota paralleled changes in bacterial genes and taxa capable of short-chain fatty acid production. Lastly, exercise-induced changes in the microbiota were largely reversed once exercise training ceased. CONCLUSION: These findings suggest that exercise training induces compositional and functional changes in the human gut microbiota that are dependent on obesity status, independent of diet and contingent on the sustainment of exercise.",Complete,
"Study 534","time series / longitudinal observational",29166320,10.1249/MSS.0000000000001495,,"Allen JM, Mailing LJ, Niemiro GM, Moore R, Cook MD, White BA, Holscher HD , Woods JA","Exercise Alters Gut Microbiota Composition and Function in Lean and Obese Humans","Medicine and science in sports and exercise",2018,"PURPOSE: Exercise is associated with altered gut microbial composition, but studies have not investigated whether the gut microbiota and associated metabolites are modulated by exercise training in humans. We explored the impact of 6 wk of endurance exercise on the composition, functional capacity, and metabolic output of the gut microbiota in lean and obese adults with multiple-day dietary controls before outcome variable collection. METHODS: Thirty-two lean (n = 18 [9 female]) and obese (n = 14 [11 female]), previously sedentary subjects participated in 6 wk of supervised, endurance-based exercise training (3 d·wk) that progressed from 30 to 60 min·d and from moderate (60% of HR reserve) to vigorous intensity (75% HR reserve). Subsequently, participants returned to a sedentary lifestyle activity for a 6-wk washout period. Fecal samples were collected before and after 6 wk of exercise, as well as after the sedentary washout period, with 3-d dietary controls in place before each collection. RESULTS: β-diversity analysis revealed that exercise-induced alterations of the gut microbiota were dependent on obesity status. Exercise increased fecal concentrations of short-chain fatty acids in lean, but not obese, participants. Exercise-induced shifts in metabolic output of the microbiota paralleled changes in bacterial genes and taxa capable of short-chain fatty acid production. Lastly, exercise-induced changes in the microbiota were largely reversed once exercise training ceased. CONCLUSION: These findings suggest that exercise training induces compositional and functional changes in the human gut microbiota that are dependent on obesity status, independent of diet and contingent on the sustainment of exercise.",Complete,
"Study 535","cross-sectional observational, not case-control",22949626,10.1093/jac/dks348,,"O'Sullivan O, Coakley M, Lakshminarayanan B, Conde S, Claesson MJ, Cusack S, Fitzgerald AP, O'Toole PW, Stanton C , Ross RP","Alterations in intestinal microbiota of elderly Irish subjects post-antibiotic therapy","The Journal of antimicrobial chemotherapy",2013,"OBJECTIVES: The human intestinal microbiota composition alters naturally with age, but is unusually perturbed by antibiotic therapy. The impact of antibiotic therapy on the composition of the intestinal microbiota of a cross-section of elderly Irish subjects (n = 185, ≥ 65 years) was investigated, taking into consideration their residence location. METHODS: Forty-two of the 185 elderly subjects were treated with at least one antibiotic within 1 month prior to faecal microbiota profiling. The residence locations of the subjects varied from long-term nursing care and rehabilitation wards to day hospitals and the community. RESULTS: Culture-dependent methods indicated that faecal Bifidobacterium spp. numbers were significantly reduced following antibiotic treatment (P = 0.004, 7-fold reduction), while levels of Lactobacillus spp. and Enterobacteriaceae were unaffected. The largest decrease in Bifidobacterium spp. numbers was linked to the administration of nucleic acid synthesis inhibitors (P = 0.004, 23-fold reduction). Microbiota profiling revealed a significant compositional change across nine genera following antibiotic therapy, including a relative increase in Lactobacillus spp. (P = 0.031), as well as a decrease in the number of genera identified in the antibiotic-treated subjects (n = 58), when compared with untreated subjects (n = 79). More alterations in the intestinal microbiota were observed post-nucleic acid synthesis inhibitor therapy, most notably a decrease in relative Faecalibacterium spp. numbers (P < 0.001). CONCLUSIONS: The impact of antibiotic therapy on the intestinal microbiota in the elderly should be considered for long-term health effects, and differential susceptibility may require the development of products (e.g. prebiotics and probiotics) for at-risk subjects.",Complete,Claregrieve1
"Study 536","randomized controlled trial",30478001,10.1016/j.ebiom.2018.11.035,,"Wei S, Mortensen MS, Stokholm J, Brejnrod AD, Thorsen J, Rasmussen MA, Trivedi U, Bisgaard H , Sørensen SJ","Short- and long-term impacts of azithromycin treatment on the gut microbiota in children: A double-blind, randomized, placebo-controlled trial",EBioMedicine,2018,"BACKGROUND: Macrolides are commonly prescribed for respiratory infections and asthma-like episodes in children. While their clinical benefits have been proved, concerns regarding the side-effects of their therapeutic use have been raised. Here we assess the short- and long-term impacts of azithromycin on the gut microbiota of young children. METHODS: We performed a randomized, double-blind, placebo-controlled trial in a group of children aged 12-36 months, diagnosed with recurrent asthma-like symptoms from the COPSAC2010 cohort. Each acute asthma-like episode was randomized to a 3-day course of azithromycin oral solution of 10 mg/kg per day or placebo. Azithromycin reduced episode duration by half, which was the primary end-point and reported previously. The assessment of gut microbiota after treatment was the secondary end-point and reported in this study. Fecal samples were collected 14 days after randomization (N = 59, short-term) and again at age 4 years (N = 49, long-term, of whom N = 18 were placebo treated) and investigated by 16S rRNA gene amplicon sequencing. FINDINGS: Short-term, azithromycin caused a 23% reduction in observed richness and 13% reduction in Shannon diversity. Microbiota composition was shifted primarily in the Actinobacteria phylum, especially a reduction of abundance in the genus Bifidobacterium. Long-term (13-39 months after treatment), we did not observe any differences between the azithromycin and placebo recipients in their gut microbiota composition. INTERPRETATION: Azithromycin treatment induced a perturbation in the gut microbiota 14 days after randomization but did not have long-lasting effects on the gut microbiota composition. However, it should be noted that our analyses included a limited number of fecal samples for the placebo treated group at age 4 years. FUND: Lundbeck Foundation, Danish Ministry of Health, Danish Council for Strategic Research, Capital Region Research Foundation, China Scholarship Council.",Complete,
"Study 537",case-control,30576008,10.1002/mds.27581,,"Barichella M, Severgnini M, Cilia R, Cassani E, Bolliri C, Caronni S, Ferri V, Cancello R, Ceccarani C, Faierman S, Pinelli G, De Bellis G, Zecca L, Cereda E, Consolandi C , Pezzoli G","Unraveling gut microbiota in Parkinson's disease and atypical parkinsonism","Movement disorders : official journal of the Movement Disorder Society",2019,"BACKGROUND: Although several studies have suggested that abnormalities in gut microbiota may play a critical role in the pathogenesis of PD, data are still extremely heterogeneous. METHODS: 16S gene ribosomal RNA sequencing was performed on fecal samples of 350 individuals, subdivided into idiopathic PD (n = 193, of whom 39 were drug naïve) stratified by disease duration, PSP (n = 22), MSA (n = 22), and healthy controls (HC; n = 113). Several confounders were taken into account, including dietary habits. RESULTS: Despite the fact that unadjusted comparison of PD and HC showed several differences in relative taxa abundances, the significant results were greatly reduced after adjusting for confounders. Although most of these differences were associated with disease duration, lower abundance in Lachnospiraceae was the only difference between de novo PD and HC (remaining lower across almost all PD duration strata). Decreased Lachnospiraceae and increased Lactobacillaceae and Christensenellaceae were associated with a worse clinical profile, including higher frequencies of cognitive impairment, gait disturbances, and postural instability. When compared with HC, MSA and PSP patients shared the changes in PD, with a few exceptions: in MSA, Lachnospiraceae were not lower, and Prevotellaceae were reduced; in PSP, Lactobacillaceae were similar, and Streptococcaceae were reduced. CONCLUSIONS: Gut microbiota may be an environmental modulator of the pathogenesis of PD and contribute to the interindividual variability of clinical features. Data are influenced by PD duration and several confounders that need to be taken into account in future studies. Prospective studies in de novo PD patients are needed to elucidate the net effect of dysbiosis on the progression of the disease. © 2018 International Parkinson and Movement Disorder Society.",Complete,Fatima
